LGA-MCO,2936239,19,154538.89,307,LGA,MCO,US,US,73,domestic
PBI-EWR,2927272,19,154066.95,308,PBI,EWR,US,US,74,domestic
TPE-LAX,2840524,19,149501.27,323,TPE,LAX,TW,US,75,international
LHR-MCO,2812850,19,148044.73,333,LHR,MCO,GB,US,76,international
MXP-LGA,2803804,19,147568.62,334,MXP,LGA,IT,US,77,international
SNA-LAS,2799934,19,147364.95,336,SNA,LAS,US,US,78,domestic
PBI-JFK,2799234,19,147328.11,337,PBI,JFK,US,US,79,domestic
EWR-LGW,2798567,19,147293.0,338,EWR,LGW,US,GB,80,international
EWR-ORY,2772934,19,145943.89,345,EWR,ORY,US,FR,81,international
HKG-EWR,2766131,19,145585.84,348,HKG,EWR,HK,US,82,international
BKK-JFK,2758024,19,145159.16,349,BKK,JFK,TH,US,83,international
LCY-JFK,2757238,19,145117.8,350,LCY,JFK,GB,US,84,international
LGA-PBI,2744827,19,144464.58,352,LGA,PBI,US,US,85,domestic
ICN-LAX,2735918,19,143995.69,354,ICN,LAX,KR,US,86,international
MAD-JFK,2732631,19,143822.69,355,MAD,JFK,ES,US,87,international
YYZ-LGA,2700451,19,142129.0,363,YYZ,LGA,CA,US,88,international
SNA-LGA,2670092,19,140531.16,365,SNA,LGA,US,US,89,domestic
ONT-LGA,2668282,19,140435.89,366,ONT,LGA,US,US,90,domestic
LHR-MIA,2667600,19,140400.0,367,LHR,MIA,GB,US,91,international
MAD-EWR,2659769,19,139987.84,373,MAD,EWR,ES,US,92,international
ICN-JFK,2646114,19,139269.16,375,ICN,JFK,KR,US,93,international
BUR-LAS,2639957,19,138945.11,376,BUR,LAS,US,US,94,domestic
SJC-JFK,2636122,19,138743.27,378,SJC,JFK,US,US,95,domestic
ONT-EWR,2633199,19,138589.42,380,ONT,EWR,US,US,96,domestic
ONT-HNL,2618262,19,137803.27,382,ONT,HNL,US,US,97,domestic
ORD-EWR,2604797,19,137094.58,385,ORD,EWR,US,US,98,domestic
JFK-YYZ,2594508,19,136553.05,388,JFK,YYZ,US,CA,99,international
EWR-ORD,2589068,19,136266.73,391,EWR,ORD,US,US,100,domestic
LAX-LHR,2587254,19,136171.27,392,LAX,LHR,US,GB,101,international
EWR-YYZ,2566808,19,135095.16,396,EWR,YYZ,US,CA,102,international
LAS-LAX,2549679,19,134193.62,404,LAS,LAX,US,US,103,domestic
BKK-LAX,2543520,19,133869.47,405,BKK,LAX,TH,US,104,international
OAK-LAX,2542348,19,133807.8,406,OAK,LAX,US,US,105,domestic
PBI-LGA,2536952,19,133523.8,407,PBI,LGA,US,US,106,domestic
SJC-LGA,2514436,19,132338.73,414,SJC,LGA,US,US,107,domestic
ORD-LGA,2506843,19,131939.11,416,ORD,LGA,US,US,108,domestic
SJC-EWR,2488581,19,130977.945,422,SJC,EWR,US,US,109,domestic
EWR-LAS,2476412,19,130337.48,426,EWR,LAS,US,US,110,domestic
LGA-ORD,2455295,19,129226.055,433,LGA,ORD,US,US,111,domestic
EWR-ONT,2441653,19,128508.055,435,EWR,ONT,US,US,112,domestic
BUR-JFK,2437123,19,128269.63,436,BUR,JFK,US,US,113,domestic
LGA-ONT,2428168,19,127798.31,437,LGA,ONT,US,US,114,domestic
JFK-LAS,2423820,19,127569.48,439,JFK,LAS,US,US,115,domestic
ICN-HNL,2422021,19,127474.79,440,ICN,HNL,KR,US,116,international
ATL-EWR,2400353,19,126334.37,446,ATL,EWR,US,US,117,domestic
BUR-EWR,2384238,19,125486.21,449,BUR,EWR,US,US,118,domestic
ORD-JFK,2360997,19,124263.0,457,ORD,JFK,US,US,119,domestic
LAX-NRT,2357057,19,124055.63,459,LAX,NRT,US,JP,120,international
ATL-LGA,2351543,19,123765.42,461,ATL,LGA,US,US,121,domestic
JFK-BUR,2345309,19,123437.31,462,JFK,BUR,US,US,122,domestic
EWR-YTZ,2344892,19,123415.37,464,EWR,YTZ,US,CA,123,international
LGB-HNL,2325380,19,122388.42,467,LGB,HNL,US,US,124,domestic
JFK-ORD,2316917,19,121943.0,472,JFK,ORD,US,US,125,domestic
OAK-LAS,2313928,19,121785.69,473,OAK,LAS,US,US,126,domestic
YYZ-JFK,2297794,19,120936.52,478,YYZ,JFK,CA,US,127,international
BKK-EWR,2290493,19,120552.266,480,BKK,EWR,TH,US,128,international
ATL-JFK,2270062,19,119476.945,483,ATL,JFK,US,US,129,domestic
MAN-JFK,2267526,19,119343.48,485,MAN,JFK,GB,US,130,international
LAX-HND,2266261,19,119276.9,486,LAX,HND,US,JP,131,international
FCO-JFK,2259132,19,118901.69,489,FCO,JFK,IT,US,132,international
LGA-SFO,2259015,19,118895.52,490,LGA,SFO,US,US,133,domestic
LGW-MCO,2256572,19,118766.945,494,LGW,MCO,GB,US,134,international
SJC-LAS,2231071,19,117424.79,504,SJC,LAS,US,US,135,domestic
YYZ-EWR,2204377,19,116019.84,508,YYZ,EWR,CA,US,136,international
JFK-MAD,2194551,19,115502.69,510,JFK,MAD,US,ES,137,international
