market,origin,dest,OriginAirport,DestinationAirport,market_key
ONT-EWR,ONT,EWR,252580864,85398016,252580864-85398016
LHR-LOS,LHR,LOS,201855488,202314496,201855488-202314496
ONT-HNL,ONT,HNL,252580864,135138304,252580864-135138304
BKK-KIX,BKK,KIX,34278144,185145344,34278144-185145344
LIS-ORY,LIS,ORY,201921280,252844288,201921280-252844288
ORD-EWR,ORD,EWR,252838912,85398016,252838912-85398016
CDG-MAD,CDG,MAD,50595584,218170368,50595584-218170368
HND-LHR,HND,LHR,135136256,201855488,135136256-201855488
JFK-YYZ,JFK,YYZ,168168192,421075456,168168192-421075456
LCY-BOM,LCY,BOM,201529600,34540800,201529600-34540800
TSA-HND,TSA,HND,336789760,135136256,336789760-135136256
EWR-ORD,EWR,ORD,85398016,252838912,85398016-252838912
LAX-LHR,LAX,LHR,201398272,201855488,201398272-201855488
TAS-DME,TAS,DME,335614720,67962112,335614720-67962112
BKK-DXB,BKK,DXB,34278144,68682240,34278144-68682240
NRT-LHR,NRT,LHR,236065792,201855488,236065792-201855488
EWR-YYZ,EWR,YYZ,85398016,421075456,85398016-421075456
BOM-GOI,BOM,GOI,34540800,118425856,34540800-118425856
LHR-HYD,LHR,HYD,201855488,135857152,201855488-135857152
CDG-YUL,CDG,YUL,50595584,420809728,50595584-420809728
SIN-PEN,SIN,PEN,319360512,268766720,319360512-268766720
EWR-LAS,EWR,LAS,85398016,201396992,85398016-201396992
BOG-MAD,BOG,MAD,34539264,218170368,34539264-218170368
TLV-LHR,TLV,LHR,336336384,201855488,336336384-201855488
PVG-LHR,PVG,LHR,269879040,201855488,269879040-201855488
TAS-VKO,TAS,VKO,335614720,369823488,335614720-369823488
KUL-LGW,KUL,LGW,185928704,201791232,185928704-201791232
LHR-MAD,LHR,MAD,201855488,218170368,201855488-218170368
LGA-ORD,LGA,ORD,201785600,252838912,201785600-252838912
BKK-UBP,BKK,UBP,34278144,352456704,34278144-352456704
EWR-ONT,EWR,ONT,85398016,252580864,85398016-252580864
BUR-JFK,BUR,JFK,34935296,168168192,34935296-168168192
LGA-ONT,LGA,ONT,201785600,252580864,201785600-252580864
LHR-JNB,LHR,JNB,201855488,168690176,201855488-168690176
JFK-LAS,JFK,LAS,168168192,201396992,168168192-201396992
ICN-HNL,ICN,HNL,151195136,135138304,151195136-135138304
EVN-DME,EVN,DME,85331456,67962112,85331456-67962112
DUS-IST,DUS,IST,68489984,152245248,68489984-152245248
MXP-CDG,MXP,CDG,219680768,50595584,219680768-50595584
LGW-SYD,LGW,SYD,201791232,320406528,201791232-320406528
SYD-ICN,SYD,ICN,320406528,151195136,320406528-151195136
ATL-EWR,ATL,EWR,18091008,85398016,18091008-85398016
KIX-BKK,KIX,BKK,185145344,34278144,185145344-34278144
KUL-LGK,KUL,LGK,185928704,201788160,185928704-201788160
BUR-EWR,BUR,EWR,34935296,85398016,34935296-85398016
SYD-OOL,SYD,OOL,320406528,252644352,320406528-252644352
ICN-TPE,ICN,TPE,151195136,336594176,151195136-336594176
ADL-MEL,ADL,MEL,17042432,218434560,17042432-218434560
YYZ-JFK,YYZ,JFK,421075456,168168192,421075456-168168192
BKK-PNH,BKK,PNH,34278144,269355008,34278144-269355008
BKK-EWR,BKK,EWR,34278144,85398016,34278144-85398016
SYD-DPS,SYD,DPS,320406528,68162304,320406528-68162304
CGH-LIS,CGH,LIS,50792448,201921280,50792448-201921280
ATL-JFK,ATL,JFK,18091008,168168192,18091008-168168192
LIN-CDG,LIN,CDG,201920000,50595584,201920000-50595584
MAN-JFK,MAN,JFK,218172928,168168192,218172928-168168192
LAX-HND,LAX,HND,201398272,135136256,201398272-135136256
BKK-IST,BKK,IST,34278144,152245248,34278144-152245248
LGW-MNL,LGW,MNL,201791232,219024384,201791232-219024384
FCO-JFK,FCO,JFK,100863744,168168192,100863744-168168192
LGA-SFO,LGA,SFO,201785600,319164160,201785600-319164160
SIN-TPE,SIN,TPE,319360512,336594176,319360512-336594176
CAI-JED,CAI,JED,50399488,168100864,50399488-168100864
TPE-SGN,TPE,SGN,336594176,319229440,336594176-319229440
LGW-MCO,LGW,MCO,201791232,218304256,201791232-218304256
CNX-HKT,CNX,HKT,51255296,134943744,51255296-134943744
VKO-DLM,VKO,DLM,369823488,67898624,369823488-67898624
STN-SIN,STN,SIN,320081408,319360512,320081408-319360512
UBP-BKK,UBP,BKK,352456704,34278144,352456704-34278144
CGK-SAW,CGK,SAW,50793216,318838528,50793216-318838528
LIS-MAD,LIS,MAD,201921280,218170368,201921280-218170368
KIX-HAN,KIX,HAN,185145344,134286848,185145344-134286848
XNB-BOM,XNB,BOM,403571200,34540800,403571200-34540800
GOI-BOM,GOI,BOM,118425856,34540800,118425856-34540800
LAS-SFO,LAS,SFO,201396992,319164160,201396992-319164160
LHR-ATH,LHR,ATH,201855488,18089984,201855488-18089984
IST-LCY,IST,LCY,152245248,201529600,152245248-201529600
JFK-CUN,JFK,CUN,168168192,51711488,168168192-51711488
SVO-MLE,SVO,MLE,320212736,218891520,320212736-218891520
